Consumption of Alcohol,P_MHD,DAUD,PDD,PAD,PADHD,DMSUD,PBD,ghs,media integrity,military expenditure,HDI,Adjusted net national income per capita,Current health expenditure,Current health expenditure per capita,Out-of-pocket expenditure,Unemployment,School enrollment primary,School enrollment secondary,School enrollment tertiary,LFE,rate-total
8.15,14758191.88,0.3673355270586581,4113848.10599,4385430.05358,630713.3781239999,0.04375944006845306,904652.604196,0.159,0.7909999999999999,0.0092,0.848,34506.5544,,,,3.400000095,,,,80.8,2.9355549130000003
8.58,7184926.302,0.6673981516063919,1808113.91658,2426653.24193,555960.741832,0.00546520560042776,463776.86263100005,,0.912,0.0133,0.87,26731.1252,9.16859245,2909.117676000001,20.39059639,21.38999939,104.5556488,120.93325039999999,80.0379715,82.1,0.978065607
0.49,511486.5152,0.3198939197734453,120389.748617,168543.387109,47366.31212775999,0.0003955416826289685,30309.5660487,,0.191,0.121,0.804,10435.56769,2.5522777999999997,559.0185547,10.42700768,4.5310001369999995,104.6121063,100.0396729,,75.4,1.214103771
0.41,881229.7595,1.5378991185917026,176559.63145,176101.960996,104089.7577311,0.0002474074374926004,35110.5721424,,0.49,0.0136,0.297,422.6163354,,,,4.46999979,42.26197815,13.12248039,1.19622004,53.0,0.327969088
10.18,1536498.207,0.23034813659054346,444650.6835270001,594447.547014,87090.6423469,0.0006499257992872119,100468.056654,,0.799,0.0348,0.763,6885.802803,,,,7.656000137,94.28900909,91.68115234,35.11135864,77.6,0.501533852
5.22,2246320.254,2.794725949179393,508303.116444,504938.8437520001,307275.53615829995,0.0007149792333603,101117.672693,0.0677,0.588,0.0133,0.48100000000000004,830.3211953,3.9596807999999997,47.281353,75.05287170000003,3.062999964,104.2417526,32.35641861,7.261509895,55.7,0.804860991
2.79,800774.0503,1.1550478835837783,261762.57911,187285.362113,67396.6116604,0.0005490301432503761,57640.7014873,0.0963,0.777,0.0659,0.865,16932.28957,7.1476779000000015,1403.31604,27.84285927,12.88799953,107.13742830000001,107.248497,57.42335129,78.7,1.4410085430000001
1.87,252555.6768,3.2225044070274267,54169.7209142,64430.5601035,31296.63340857,0.0012915406563025966,11256.542268,0.111,0.733,0.025,0.55,3109.801282,10.27619934,416.1722107,6.33523703,21.69499969,112.38395690000002,64.04247284,6.4455399510000015,53.3,1.03065459
1.06,1400745.69,0.3304071468963173,326128.257582,450271.212755,169900.9419248,0.00025520564761527965,73636.66276980001,0.0761,0.34,0.019,0.623,1508.653141,,,,15.93999958,112.3846436,61.79141998,13.87403965,73.4,0.606373701
3.92,1097667.796,2.4478100158117617,237159.247077,240858.990587,148930.48340979998,0.00015772051954670376,46094.66482980001,,0.562,0.0217,,273.238742,,,,2.483999968,33.72296906,7.229269981,0.7009800079999999,50.7,0.46239577600000004
,1093477.086,3.2801995447241685,288303.74885100004,329780.65715100005,76780.3658843,0.001707634958301802,67833.1492405,0.129,0.711,0.0217,0.75,..,8.49389839,371.557312,32.84015656,20.85000038,101.8395462,88.95658112,46.81958008,73.2,1.7311139580000001
2.08,418115.62,0.1910681890857855,163036.982594,150400.424963,25809.94677779001,0.0005838173289306215,31364.9370478,0.0559,0.373,0.0483,0.8220000000000001,18783.25713,3.16302657,696.6171875,55.58973694,3.75999999,,,,79.6,3.247003044
,35507.10017,0.3158214713754377,8913.35810513,9696.98038697,2185.039669232,9.038011274916379e-05,1692.9667482999994,0.105,,,0.647,3107.593722,8.30568123,462.99023439999996,47.22499084,3.16899991,113.1671982,,9.775560379,76.8,1.03999009
,1221170.297,21.93463215452093,479562.15490600007,305368.670665,86308.4389745,0.0018876432548836871,74285.0282757,0.108,0.227,0.0136,0.7140000000000001,1271.679963,5.93219662,142.7480164,19.22101021,9.18599987,99.97944641,,65.01206207,68.8,2.9368253189999995
,32783.99535,0.3365752093940058,7899.53829321,8607.54083248,2072.226228488,7.033480195836363e-05,1450.52694349,0.119,,,0.633,2594.549058,6.77857542,235.61952209999998,53.8095932,2.578999996,123.9351883,67.7062912,0.196250007,74.5,1.005944224
12.23,1241381.682,6.17756825967387,356739.574602,370523.906134,85144.1599709,0.00026034171656677383,75644.6326486,0.106,0.752,0.0151,0.769,3552.321376,,,,6.5630002020000004,101.1199112,96.13126373,35.94100952,71.8,2.2857085930000003
3.86,12709296.16,3.8061944316663414,3002379.77747,3602972.5287,773550.7035089999,0.002412919061094885,936692.874997,,0.67,0.00476,0.752,7328.466611,5.84224558,598.3488159,42.60287476,4.887000083999999,110.4134521,90.66719818,29.4718399,75.6,1.168296407
0.75,646367.1699,2.157465087706929,147919.697952,132532.696233,69590.1423022,0.0004122078469868766,23219.3812712,,0.69,0.0226,0.355,494.0239183,4.90981197,20.81191635,50.18448257,3.90199995,,,,48.7,0.695169392
6.33,29936125.22,4.331359269759298,7137358.834210001,13204416.2143,2600728.643932,0.003423620129659699,2390255.65212,,0.653,0.0135,0.757,10193.57083,9.20742226,801.4113159,27.40692139,11.60000038,,,,75.4,1.0582249479999999
9.19,4446061.466,7.616256051351062,999912.19192,1401757.6578,339630.86242300004,0.008077903512825441,293125.38986500003,0.0998,0.828,0.0187,0.802,4418.690514,5.8686347,392.0033875,29.79473114,19.07299995,95.18025208,97.55431366,61.05693817,75.0,2.135189324
3.65,1099539.208,3.5566401682344377,208769.085047,351150.025195,206290.0936396,0.0002640027801282295,63637.96763589999,0.108,0.628,,0.444,460.5380418,5.98888016,21.99154663,48.17779922,10.59000015,,,,58.5,0.701168336
1.09,5603563.5079999985,1.5740780072636862,1043287.41153,1614717.24116,312925.42053400003,0.0001606490967251067,250999.199212,,0.485,,0.534,709.0709695,1.91946495,26.56099129,77.27888489,0.786000013,,,14.18303967,65.4,0.651065635
,349482.3976,4.499422290139637,82104.21290669999,83780.6180712,34136.739451,0.004762141526329693,23235.695975,,0.612,0.023,0.59,..,,,,5.3000001910000005,104.5680008,94.74469757,23.02763939,68.9,0.49956555399999997
3.88,1957839.519,2.501885429476497,448303.962137,668821.4717689999,233226.8563592,0.0005204197811551223,138651.11863699998,,0.648,0.0262,0.758,4656.896337,8.58845711,525.9973144999999,43.86994171,3.6159999369999998,107.6838379,104.0310593,44.89223099,76.6,1.870365778
7.17,98495.58225,4.643100505027964,26720.1210118,32161.8717747,18186.71441875,0.001524523812317284,6059.63210332,0.1,,,0.601,866.5843337,,,,11.87899971,106.37409209999998,81.50863647,,66.7,3.3785974339999996
0.29,279215.9671,0.32850329591970456,58155.1428825,88010.6739908,28428.68222462,0.00032629140737879995,14244.3057819,,0.125,0.118,,3878.369434,,,,6.03399992,86.18000793,62.24452972,5.4152898789999995,70.6,0.7669894
2.69,1363457.7680000002,3.6437883183300315,284463.112977,469931.114912,258090.12899939998,0.0002511969705691376,85028.44540730001,,0.659,6.2e-06,0.488,727.051142,7.79763603,64.02371216,31.01531219,14.03299999,,,,63.6,0.893993239
10.35,7154454.636,0.6128827155102623,1821985.80629,2410562.6450400003,539432.5229120001,0.00622082390491591,455396.027315,,0.777,0.0127,0.885,24227.55297,9.12686825,2349.233887000001,22.29589272,22.05699921,106.36399080000001,124.96066280000001,85.61177826,82.6,0.948102867
2.51,97906.57873,0.22334033275831566,26492.32740490001,27878.6730911,7977.854558570001,0.0043078504505140785,3925.20618721,,,0.0139,0.7070000000000001,3701.906457,3.20040703,167.8189392,22.54663658,4.445000172,107.81871799999999,,,67.7,1.247017795
