Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ecuador,ECU,1888.570058,2304.011951,2045.506054,1642.097097,1564.818409,1558.053845,1404.892372,1239.342009,1069.330245,1080.797417,1154.815713,1356.489747,1446.427272,1478.38925,1733.774339,1805.943918,1782.6875,1997.135557,1972.694945,1259.28018,1084.537377,1538.668752,1792.873026,1962.105741,2079.874586,2212.677673,2401.002801,2595.593375,3123.053543,3373.428343,3567.538198,3885.259968,4306.672971,4656.896337,4869.507787,4823.509473,4743.849067,4777.022482,4626.43676,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Egypt, Arab Rep.",EGY,312.5316923,329.0535874,437.4637648,481.7093083,510.9287935,563.7567901,643.3382608,647.2029878,552.0035404,590.390716,587.6541762,549.3817118,604.2899957,667.4797676,742.0762258,843.7235564,921.103599,1075.036068,1173.643758,1198.259153,1290.348414,1268.900214,1112.798612,1012.700123,923.2594786,993.8705533,1176.343383,1422.283657,1702.776766,2030.301618,2252.766679,2342.796623,2741.760712,2788.580957,2911.325808,3247.878377,3215.251093,2165.534778,2216.490615,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,El Salvador,SLV,719.6814747,677.0641401,647.1087516,666.869878,689.9447054,712.3350996,697.4538298,722.4423202,756.7167151,780.1678717,843.5341574,907.186962,1006.162803,1147.699193,1308.014209,1500.99508,1588.529941,1664.400428,1765.077547,1779.22375,1844.649904,1899.184194,1929.983129,1984.910315,2027.870418,2155.036335,2329.494132,2443.277957,2562.294697,2442.743582,2556.736947,2813.532974,2917.986274,2957.593927,3006.71619,3079.065231,3131.45675,3196.972136,3314.699662,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Equatorial Guinea,GNQ,178.3867957,102.38519,108.8242722,120.2755348,130.9458014,147.4121005,173.4239594,212.5167313,218.6439569,182.6285123,263.5938819,260.2878715,310.3461734,294.5999821,174.2169368,208.5946404,234.5897014,359.4549264,273.8214811,326.3679349,-45.04973404,..,..,..,..,-616.378494,3005.450501,4404.702075,5101.483224,4933.205788,2658.487697,4311.394397,4376.144443,5622.321479,5675.393058,5347.372026,4850.443939,4074.286862,3881.81906,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,180.7954322,205.610115,218.7816439,257.8430629,256.3206127,283.2063092,266.9948267,263.2159856,270.7680847,252.2163352,282.959241,348.5534189,338.013626,364.6923992,382.0347414,385.5101715,520.2988458,436.0673675,452.1896571,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3406.05411,3745.009575,4409.960448,5881.487252,7260.092008,8609.36185,10333.46547,13298.92555,14639.84714,11797.07546,11499.385,13914.3096,14021.65702,15595.42826,16522.99954,14323.66893,14844.51899,16736.31258,19214.48956,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,1237.996125,1265.066775,1379.32181,1375.179828,1339.61107,1662.243685,1595.897715,1678.055177,1441.98998,1434.931143,1526.71776,1409.466421,1203.772132,1814.897234,2341.428543,2855.814484,2776.241466,2912.928132,2696.833297,2845.325608,3383.829874,3848.532389,3863.362551,3666.129001,3474.799065,3192.298741,2734.681868,3132.785086,3216.672027,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ethiopia,ETH,..,180.4831953,177.0171872,203.2443401,185.5287946,216.5152947,211.0889329,219.999295,217.9824602,220.9995258,222.9990143,238.2957936,171.7839929,139.7175329,96.70623016,94.14041237,105.2623457,103.3437103,86.40239447,93.90661341,97.57758282,94.88563205,80.93452977,72.08132714,92.44165314,117.0406566,145.3692664,177.1841932,244.7304619,290.1605536,261.2811661,263.71194,350.7393213,373.828312,422.7988235,472.2912821,520.9992301,547.3840425,561.9815619,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Fiji,FJI,1682.368939,1684.629556,1537.148662,1431.987428,1473.958759,1423.63894,1599.213003,1436.591573,1345.29697,1432.281149,1569.336084,1615.964514,1766.19613,1873.628398,2017.434019,2217.899733,2393.707276,2286.207286,1767.398689,2046.649703,1866.84137,1799.053655,2063.076048,2550.425596,3030.045396,3383.699013,3267.444477,3638.616854,3736.864603,3067.434317,3221.781438,3701.906457,3856.368275,4204.629714,4756.602434,4591.393046,4800.702427,5092.427267,5137.379301,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Finland,FIN,9262.689849,8941.341451,8947.928355,8545.407068,8840.973093,9305.618333,12247.00474,15131.7745,17981.03391,19230.19835,22301.9945,19441.05195,16726.97862,13112.34883,15459.12188,20757.26392,20574.82452,20049.51481,21138.65261,21505.07233,20019.97653,20684.43689,22351.94701,26996.59081,31444.81316,32320.35593,34290.39283,40123.45584,43949.27926,38621.05977,38213.82335,41709.43949,38691.99014,40403.35062,41063.36615,35071.77465,35799.05376,37753.76408,41000.95481,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,France,FRA,10914.31282,9481.300544,8906.704857,8414.805116,7913.612728,8260.771483,11563.1713,13961.5842,15147.3435,15111.54853,18564.69048,18318.7159,20162.67211,18931.42478,19882.4385,22820.36556,22951.27811,20809.75499,21532.60709,21426.09649,19294.26192,19356.81284,20632.07541,25269.59846,28831.61853,29725.90449,31166.15219,35446.52302,38533.55717,35101.59539,34362.55143,37138.07826,34395.20554,35867.25673,36186.25183,30896.22767,31182.4688,32708.48557,34835.01215,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Gabon,GAB,3175.046894,3641.835404,3555.993332,3005.580654,2845.33193,2486.715999,2672.615867,2206.484253,3016.233016,2662.446799,3031.812891,3219.804626,2961.540935,2013.384826,2114.86873,2319.03976,2413.998059,2305.215817,2501.361258,2254.127178,1750.03047,2308.364536,2609.792176,3152.602296,3133.717154,3657.557535,3675.793698,4050.666929,4542.831025,4509.171393,4587.1536,5195.932329,5137.757699,5457.011401,6226.068493,5205.011721,4993.750325,4984.080835,5205.099432,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Gambia, The",GMB,315.9688996,277.9007818,265.5919519,240.1623049,210.5059289,292.1882466,236.5422832,261.5380186,267.4835064,247.2946008,253.9111476,579.8728745,576.185916,587.7771127,562.4532693,568.3760531,592.9642707,542.3848039,548.9228619,516.1491388,476.8239669,399.5296547,316.4312588,251.7192494,521.6013888,541.5870512,536.1086887,632.5639267,753.7356411,676.4489813,698.3704452,603.9245309,578.7248635,543.6999709,472.6292911,503.6212591,532.5767409,526.3554097,582.3317723,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,808.4290594,629.3259216,678.6095649,718.8750698,763.6100174,897.1515734,1188.513891,1495.364996,1839.597858,2383.857635,2987.177118,2523.405326,2809.441323,3406.084175,3862.171184,4019.086794,4168.151136,3488.417492,3443.663357,3665.710534,4014.090432,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Germany,DEU,10334.67732,8600.514012,8304.830551,8295.276675,7863.247013,7966.077057,11388.12842,14069.65263,15242.32249,15135.63164,19017.42384,19771.81831,22311.83672,21371.40941,22642.81027,26437.25083,25447.6087,22430.91414,22614.39844,22102.59782,19499.56344,19428.43731,20510.20642,24727.57325,28410.07673,28837.6947,30765.58102,35115.12533,37929.07869,34718.0694,34848.99668,39510.82987,36959.53505,38933.8101,40300.84672,34715.75811,35641.27399,37540.83824,40284.96091,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ghana,GHA,376.2328646,354.1534063,331.0449187,322.6796616,334.0433792,327.3859209,398.7239624,337.1082174,335.3708486,332.4443522,364.5327102,401.5489133,373.9344185,319.4243596,276.3854214,321.3848222,333.3817696,329.0294758,345.480711,357.3499969,220.8872431,225.7781877,248.7516697,288.4042551,330.3485956,383.2482139,719.3775727,851.2452771,941.4424366,761.7339045,895.2829633,993.8868871,970.368878,1570.757753,1288.431882,1161.90093,1276.745362,1335.211557,1461.737353,..,..
